#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
234,Lisk LSK,$0.965218,-0.4%,-0.8%,-10.7%,"$616,982","$139,888,604",-,-
235,Stargate Finance STG,$0.770972,-1.1%,-3.2%,3.7%,"$18,826,934","$139,036,496","$771,629,551",0.18
236,Polymesh POLYX,$0.182900,-0.8%,-2.2%,-15.6%,"$12,719,179","$138,551,825","$138,551,825",1.00
237,UMA UMA,$1.94,0.2%,-3.4%,0.5%,"$19,512,947","$137,991,108","$220,105,128",0.63
238,STASIS EURO EURS,$1.10,-0.1%,0.0%,0.3%,"$9,774,318","$136,888,617","$136,888,617",1.00
239,Nervos Network CKB,$0.004110483647,0.4%,-1.2%,5.3%,"$4,939,037","$136,643,375",-,-
240,Tribe TRIBE,$0.297739,0.3%,0.2%,-1.5%,"$328,229","$135,818,923","$298,492,938",0.46
241,iExec RLC  RLC,$1.88,0.7%,16.7%,20.8%,"$90,588,619","$135,647,077","$163,040,219",0.83
242,aelf ELF,$0.291144,-0.2%,-1.1%,-2.9%,"$3,484,361","$134,158,885",-,-
243,Horizen ZEN,$9.75,-0.5%,-2.0%,-0.0%,"$3,544,065","$133,201,375","$205,165,303",0.65
244,Celer Network CELR,$0.023526628711,-0.2%,-3.0%,-16.2%,"$14,385,895","$132,902,633","$235,415,276",0.56
245,NuCypher NU,$0.101781,-0.2%,-0.5%,-5.4%,"$12,260.94","$132,439,369","$395,786,259",0.33
246,Aragon ANT,$3.28,-0.4%,-0.4%,-1.0%,"$6,871,131","$131,296,850","$147,910,312",0.89
247,Secret SCRT,$0.625671,-0.5%,-2.2%,-6.5%,"$859,758","$128,558,024",-,-
248,Energy Web EWT,$2.76,0.0%,-5.3%,2.0%,"$751,531","$128,230,925","$276,277,606",0.46
249,CANTO CANTO,$0.265891,-0.0%,-0.6%,-1.6%,"$2,874,243","$127,309,928","$265,976,390",0.48
250,Axelar AXL,$0.524311,0.3%,2.2%,0.8%,"$1,693,879","$127,224,959","$554,305,136",0.23
251,VVS Finance VVS,$0.000003684946,0.4%,-1.5%,7.8%,"$656,738","$127,013,022","$367,173,781",0.35
252,Stride STRD,$1.50,-1.3%,-8.4%,-19.6%,"$76,196.76","$126,922,944","$150,639,819",0.84
253,COCOS BCX COCOS,$1.79,0.6%,-2.9%,7.5%,"$25,483,129","$126,029,807",-,-
254,API3 API3,$1.50,0.0%,-3.2%,0.8%,"$3,559,918","$125,744,045","$185,892,428",0.68
255,Celsius Network CEL,$0.292817,0.9%,2.0%,7.3%,"$259,525","$125,205,457",-,-
256,RSK Infrastructure Framework RIF,$0.123713,-0.1%,-1.5%,0.0%,"$1,751,773","$118,901,856",-,-
257,PlayDapp PLA,$0.215560,0.0%,-0.7%,-2.8%,"$2,221,263","$118,161,925",-,-
258,Pundi X PUNDIX,$0.456348,-0.1%,-0.5%,-3.8%,"$2,773,765","$117,995,417","$117,995,417",1.00
259,Kyber Network Crystal KNC,$0.700482,-0.7%,-1.6%,-1.3%,"$7,528,190","$117,052,304","$176,733,004",0.66
260,Decimal DEL,$0.032508014209,0.8%,-0.8%,-3.5%,"$89,398.64","$115,344,579","$2,973,526,305",0.04
261,Metis METIS,$26.50,-0.3%,-2.3%,-7.0%,"$1,845,398","$115,227,906","$264,628,852",0.44
262,Ergo ERG,$1.67,-0.0%,-4.0%,-4.8%,"$341,044","$114,552,741",-,-
263,Ribbon Finance RBN,$0.166531,-0.9%,5.1%,-2.4%,"$1,108,140","$113,966,981","$166,180,837",0.69
264,cUSDT CUSDT,$0.014503383332,0.1%,-40.5%,20.6%,$2.44,"$113,355,604",-,-
265,DeXe DEXE,$3.11,-0.4%,-2.0%,2.1%,"$2,537,939","$113,280,570",-,-
266,Function X FX,$0.182167,-0.9%,-0.1%,0.8%,"$401,509","$111,326,421","$348,402,801",0.32
267,Coin98 C98,$0.237899,0.2%,0.1%,-1.1%,"$6,261,509","$111,291,317","$238,056,297",0.47
268,CoinEx CET,$0.035757946954,-0.1%,0.5%,-6.4%,"$915,588","$110,763,642","$360,037,478",0.31
269,Marinade staked SOL MSOL,$26.02,-0.3%,0.8%,8.1%,"$1,374,549","$110,456,842","$110,453,638",1.00
270,Radicle RAD,$2.22,-4.3%,-9.3%,31.2%,"$59,043,166","$110,403,194","$221,563,646",0.50
271,Nest Protocol NEST,$0.018879735313,-4.7%,36.0%,17.0%,"$7,453,557","$109,920,794","$185,374,585",0.59
272,Nano XNO,$0.822677,0.2%,1.2%,-1.3%,"$521,738","$109,592,466","$109,592,466",1.00
273,Smooth Love Potion SLP,$0.002590827953,0.4%,-0.4%,-4.4%,"$6,058,152","$109,388,766",-,-
274,Syscoin SYS,$0.153116,-0.1%,0.8%,-4.1%,"$1,374,696","$108,706,177","$115,123,590",0.94
275,ConstitutionDAO PEOPLE,$0.021424598198,0.4%,2.3%,1.2%,"$19,846,650","$108,599,157","$108,599,157",1.00
276,Merit Circle MC,$0.283350,-0.5%,-1.9%,-6.4%,"$1,474,859","$108,260,935","$183,596,159",0.59
277,Alpha Venture DAO ALPHA,$0.138948,-0.8%,-5.8%,31.7%,"$62,783,308","$107,916,876","$139,427,488",0.77
278,Status SNT,$0.027024539869,0.1%,-0.9%,-1.9%,"$924,173","$106,965,249",-,-
279,Songbird SGB,$0.009385231266,-0.1%,-3.6%,-0.7%,"$766,115","$106,941,731","$161,255,269",0.66
280,My Neighbor Alice ALICE,$1.57,-0.3%,-1.8%,2.1%,"$9,015,142","$106,585,523","$156,803,809",0.68
281,Hashflow HFT,$0.605780,-0.7%,0.8%,0.1%,"$13,531,963","$106,287,449","$606,562,581",0.18
282,Everscale EVER,$0.059189726794,-0.2%,-3.7%,-9.3%,"$1,095,172","$106,083,102",-,-
283,BENQI Liquid Staked AVAX SAVAX,$18.73,-0.3%,-0.9%,0.8%,"$1,846,021","$104,831,244",-,-
284,MiL.k Alliance MLK,$0.374365,-0.2%,1.0%,-1.9%,"$16,055,577","$104,314,542","$485,766,283",0.21
285,FLEX Coin FLEX,$1.05,0.1%,-2.5%,-3.0%,"$515,453","$103,670,205","$103,744,604",1.00
286,SafeMoon SFM,$0.000181183636,5.5%,10.2%,5.2%,"$1,100,282","$103,118,449",-,-
287,Numeraire NMR,$16.53,-0.1%,0.2%,-4.6%,"$2,742,037","$102,970,482","$181,817,954",0.57
288,APENFT NFT,$0.000000370242,0.1%,0.4%,-1.4%,"$13,202,384","$102,789,513","$370,969,671",0.28
289,Gitcoin GTC,$1.69,0.2%,-0.3%,4.9%,"$7,139,692","$102,581,379","$169,022,668",0.61
290,Tenset 10SET,$0.589745,-0.1%,3.1%,-6.8%,"$36,925.45","$102,298,837","$102,298,848",1.00
291,Lido Staked SOL STSOL,$25.88,-0.3%,0.8%,7.6%,"$1,223,190","$101,052,209","$101,052,082",1.00
292,MangoMan Intelligent MMIT,$0.000000542271,-0.4%,0.2%,-28.0%,"$345,366","$98,468,456","$1,135,115,039",0.09
293,Radiant Capital RDNT,$0.376551,-0.6%,-2.9%,-8.9%,"$20,071,261","$98,061,935","$376,853,417",0.26
294,Metars Genesis MRS,$1.54,0.1%,-0.3%,5.8%,"$112,320","$96,785,336",-,-
295,MVL MVL,$0.004207099523,0.0%,-2.7%,7.2%,"$8,187,020","$96,776,612","$126,214,126",0.77
296,Artificial Liquid Intelligence ALI,$0.026698682130,-0.3%,-0.8%,-12.7%,"$2,690,933","$96,488,572","$268,907,947",0.36
297,COTI COTI,$0.079106820226,-0.2%,-0.6%,-5.2%,"$4,340,452","$95,521,205","$158,563,774",0.60
298,Covalent CQT,$0.166142,-0.5%,-1.4%,1.2%,"$767,852","$95,243,630","$166,737,201",0.57
299,GalleryCoin GLR,$0.394544,0.2%,0.1%,2.7%,"$147,627","$95,105,056","$792,515,717",0.12
300,Hooked Protocol HOOK,$1.89,-0.2%,-5.1%,-4.3%,"$18,992,412","$94,310,710","$943,107,103",0.10
