#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
237,Decentralized Social DESO,$12.93,-1.2%,3.5%,-7.3%,"$173,854","$138,110,615","$141,732,965",0.97
238,Telcoin TEL,$0.001984965999,0.2%,-1.6%,-8.3%,"$1,282,416","$137,003,741",-,-
239,STASIS EURO EURS,$1.10,-0.1%,-0.0%,0.1%,"$10,451,695","$136,678,537","$136,678,537",1.00
240,Tribe TRIBE,$0.295720,0.2%,1.5%,-0.9%,"$600,197","$135,054,146","$296,812,167",0.46
241,Core CORE,$1.21,-0.2%,-6.5%,-20.2%,"$24,960,469","$134,681,628","$2,545,151,226",0.05
242,Polymesh POLYX,$0.176249,0.4%,-0.3%,-5.8%,"$27,591,782","$134,132,354","$134,132,354",1.00
243,OriginTrail TRAC,$0.349906,0.4%,1.2%,-8.1%,"$1,796,429","$134,115,630","$175,177,842",0.77
244,Bitgert BRISE,$0.000000334534,-0.1%,-0.6%,-17.3%,"$3,362,375","$132,522,669","$334,916,895",0.40
245,Celer Network CELR,$0.023317698723,-0.4%,2.8%,-2.8%,"$12,202,629","$131,916,879","$233,669,174",0.56
246,Metis METIS,$29.84,1.9%,14.3%,11.3%,"$7,219,750","$130,005,254","$298,566,053",0.44
247,Horizen ZEN,$9.51,0.3%,-0.6%,-3.6%,"$6,042,727","$129,954,458","$199,877,770",0.65
248,RSK Infrastructure Framework RIF,$0.133182,2.5%,-2.3%,6.3%,"$8,790,860","$128,128,462",-,-
249,API3 API3,$1.49,0.1%,2.1%,-3.8%,"$5,345,991","$125,494,171","$185,188,339",0.68
250,Nervos Network CKB,$0.003749890469,-0.3%,2.7%,-8.7%,"$5,116,199","$125,417,793",-,-
251,COCOS BCX COCOS,$1.74,0.4%,0.2%,-8.6%,"$21,352,917","$124,129,336",-,-
252,Aragon ANT,$3.06,0.4%,4.7%,-6.5%,"$18,385,335","$122,890,229","$138,439,971",0.89
253,iExec RLC RLC,$1.68,-0.5%,-0.7%,5.2%,"$14,688,714","$122,536,377","$147,281,890",0.83
254,Celsius Network CEL,$0.286216,0.4%,3.1%,1.3%,"$803,335","$122,267,573",-,-
255,e-Radix EXRD,$0.078693915742,-2.0%,-7.6%,-26.5%,"$159,621","$121,089,744","$1,913,527,548",0.06
256,Energy Web EWT,$2.61,-0.1%,0.2%,-8.2%,"$876,298","$120,747,690","$260,041,381",0.46
257,VVS Finance VVS,$0.000003464227,-0.4%,-1.1%,-9.4%,"$492,289","$120,704,519","$347,403,832",0.35
258,Ecoin ECOIN,$0.000260031018,-0.1%,0.1%,-16.2%,$10.40,"$120,029,379",-,-
259,Secret SCRT,$0.577522,0.3%,-0.3%,-9.0%,"$1,821,425","$119,209,081",-,-
260,Pundi X PUNDIX,$0.454611,-0.2%,0.9%,-0.5%,"$3,268,040","$117,949,564","$117,949,564",1.00
261,PlayDapp PLA,$0.212760,-0.0%,0.3%,-1.7%,"$6,023,890","$117,184,996",-,-
262,Stride STRD,$1.39,0.2%,-0.5%,-12.0%,"$106,198","$116,951,541","$138,570,963",0.84
263,Ribbon Finance RBN,$0.169244,-0.4%,-1.0%,4.6%,"$472,374","$116,796,266","$169,380,672",0.69
264,CANTO CANTO,$0.239901,0.1%,1.2%,-11.5%,"$4,823,068","$115,042,335","$240,077,770",0.48
265,Gitcoin GTC,$1.88,1.2%,6.3%,13.5%,"$22,223,012","$114,643,654","$188,864,314",0.61
266,Kyber Network Crystal KNC,$0.684254,0.2%,2.7%,-2.6%,"$16,231,748","$114,366,666","$172,677,559",0.66
267,Radiant Capital RDNT,$0.426616,0.9%,6.2%,10.0%,"$58,765,109","$114,061,414","$425,679,592",0.27
268,cUSDT CUSDT,$0.014510570359,-,-,-,-,"$113,820,657",-,-
269,CoinEx CET,$0.036536345884,-0.5%,-0.3%,0.1%,"$981,465","$112,485,426","$369,682,416",0.30
270,ConstitutionDAO PEOPLE,$0.021603995706,0.5%,3.4%,3.7%,"$34,031,528","$109,703,120","$109,703,120",1.00
271,Coin98 C98,$0.233567,0.2%,2.8%,-1.4%,"$6,769,649","$109,377,055","$233,961,620",0.47
272,Function X FX,$0.180269,0.4%,2.4%,-1.9%,"$527,250","$109,249,067","$340,923,845",0.32
273,Ergo ERG,$1.58,-0.0%,0.7%,-9.2%,"$264,735","$109,229,207",-,-
274,DeXe DEXE,$2.98,0.3%,1.1%,-6.2%,"$1,851,554","$108,659,775",-,-
275,Marinade staked SOL MSOL,$25.64,1.3%,6.4%,-0.9%,"$1,605,428","$108,504,221","$108,504,221",1.00
276,Syscoin SYS,$0.150620,0.6%,2.7%,-0.2%,"$1,206,177","$107,193,437","$113,123,175",0.95
277,Smooth Love Potion SLP,$0.002558916950,0.6%,0.4%,-1.7%,"$12,741,019","$107,143,168",-,-
278,Decimal DEL,$0.029395404726,-0.7%,-3.2%,-10.0%,"$98,807.96","$106,578,534","$2,706,460,670",0.04
279,Merit Circle MC,$0.277519,0.4%,2.8%,-2.4%,"$1,883,111","$106,186,363","$180,021,296",0.59
280,Nano XNO,$0.793398,0.4%,1.9%,-1.2%,"$428,976","$105,966,404","$105,966,404",1.00
281,Status SNT,$0.026668997448,0.0%,0.6%,-1.3%,"$975,949","$105,947,211",-,-
282,BENQI Liquid Staked AVAX SAVAX,$18.80,0.2%,2.5%,-0.7%,"$952,329","$105,748,934",-,-
283,My Neighbor Alice ALICE,$1.52,-0.0%,0.8%,-5.2%,"$14,013,767","$105,523,076","$152,621,275",0.69
284,APENFT NFT,$0.000000372422,-0.2%,0.5%,1.3%,"$8,330,294","$103,186,464","$372,402,275",0.28
285,Numeraire NMR,$16.38,0.3%,0.1%,-0.6%,"$3,299,323","$102,552,224","$181,046,036",0.57
286,MiL.k Alliance MLK,$0.357265,-1.3%,-0.7%,-5.0%,"$6,255,233","$99,976,958","$464,340,978",0.22
287,Songbird SGB,$0.008795059083,0.5%,-4.5%,-10.6%,"$919,201","$99,875,182","$150,725,226",0.66
288,Artificial Liquid Intelligence ALI,$0.027642616195,-0.3%,-3.2%,-0.1%,"$3,240,759","$99,185,044","$276,422,853",0.36
289,Lido Staked SOL STSOL,$25.49,1.2%,6.3%,-0.8%,"$2,008,034","$98,997,403","$98,997,279",1.00
290,Metars Genesis MRS,$1.57,0.6%,17.4%,1.3%,"$77,955.46","$98,361,219",-,-
291,Humanscape HUM,$0.106986,0.7%,0.9%,3.8%,"$2,192,257","$98,176,958","$116,591,668",0.84
292,Constellation DAG,$0.037353106635,0.7%,-1.0%,4.3%,"$637,542","$97,830,648",-,-
293,Orbs ORBS,$0.029559822649,-0.1%,1.3%,-1.2%,"$1,218,209","$97,796,527",-,-
295,COTI COTI,$0.080389474835,-0.1%,3.7%,0.9%,"$7,011,431","$97,075,837","$161,144,440",0.60
296,MangoMan Intelligent MMIT,$0.000000532303,1.1%,-0.8%,-2.1%,"$920,916","$96,849,974","$1,116,457,653",0.09
294,Alpha Venture DAO ALPHA,$0.124868,0.2%,0.3%,2.2%,"$7,010,138","$96,647,764","$124,867,912",0.77
297,Agoric BLD,$0.222347,1.7%,8.0%,-5.7%,"$636,105","$96,263,932","$277,905,129",0.35
298,SafeMoon SFM,$0.000177233016,9.2%,5.0%,5.2%,"$1,285,123","$95,566,309",-,-
299,Hashflow HFT,$0.541943,0.2%,0.7%,-10.5%,"$11,990,667","$94,964,344","$541,943,737",0.18
300,GalleryCoin GLR,$0.392327,-0.3%,-0.2%,1.0%,"$168,953","$94,828,735","$790,213,118",0.12
